Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Status,Created,Custom field (Equipe Dédiée),Custom field (Criticité),Custom field (Eng. Documentation),Custom field (Engagement DIAGNOSTIC),Custom field (Engagement CR),Custom field (Engagement TEST),Custom field (Eng. TEST Supplémentaire),Custom field (Eng. Vérification données),Custom field (Eng. Test P3),Custom field (Eng. Test P2),Custom field (Eng. Test P1),Custom field (Team),Σ Remaining Estimate,Σ Original Estimate,Custom field (Estimation Test),Remaining Estimate,Original estimate,Resolved,Custom field (Story point estimate),Custom field (Story Points),Custom field (Development),Custom field (Eng. Développement P1),Custom field (Eng. Développement P2),Custom field (Eng. Développement P3),Custom field (Engagement DÉVELOPPEMENT),Custom field (Provoqué Par),Custom field (Provoqué Par)Id,Custom field (Scope),Reporter,Reporter Id
Demande Export,AWA-13776,77756,[EGYPTE] Modification du Template PDF facture : Éliminer l’affichage de la TVA et la remplacer par la valeur TTC,Asma Ayari,5d0a4409307c2e0bc4038d00,En cours,16/Mar/26 1:47 PM,équipe support et maintenance,,,,,,,,,,,,10800,10800,,10800,10800,,,,{},,,,,,,,Habib Dhahak,602996a97b23f40068416aa1
Task,AWA-13774,77722,Prépareration d’une présentation sur le refactoring du système d’adresse,Asma Ayari,5d0a4409307c2e0bc4038d00,En cours,16/Mar/26 1:08 PM,équipe support et maintenance,,,,,,,,,,,,14400,14400,,14400,14400,,,,{},,,,,,,,Asma Ayari,5d0a4409307c2e0bc4038d00
Xray Test,AWA-13773,77721,[TC][Refactoring GO][Factures] Tester le module go ,Asma Ayari,5d0a4409307c2e0bc4038d00,Validation En Cours,16/Mar/26 1:04 PM,équipe support et maintenance,,,,,,,,,,,,,,8h,,,,,,{},,,,,,,,Asma Ayari,5d0a4409307c2e0bc4038d00
Xray Test,AWA-13769,77550,[Whatsapp] Vérifier le bon fonctionnement des fonctionnalités liées au besoin WhatsApp,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,Validation En Cours,16/Mar/26 8:25 AM,équipe support et maintenance,,,,,,,,,,,,28800,28800,,28800,28800,,,,{},,,,,,,,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c
Support,AWA-13767,77085,[LY] Import Promo Happy Hour LY le 13/03/2026 et 14/03/2026,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Terminé,13/Mar/26 9:56 AM,équipe support et maintenance,,,,5,,,,,,,,900,900,,900,900,13/Mar/26 12:54 PM,,,{},,,,10,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-13766,77084,[DZ] Import Promo Happy Hour DZ le 13/03/2026 et 14/03/2026,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Terminé,13/Mar/26 9:46 AM,équipe support et maintenance,,,,5,,,,,,,,900,900,,900,900,13/Mar/26 12:59 PM,,,{},,,,10,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-13765,77051,[TN] Import Promo Happy Hour TN le 13/03/2026 et 14/03/2026,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Terminé,13/Mar/26 9:33 AM,équipe support et maintenance,,,,5,,,,,,,,900,900,,900,900,13/Mar/26 12:56 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-03-13T12:34:57.803+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,10,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-13764,77018,[Tunisie] : Demande fichier : Montants des Bonus box pour les partenaires éligibles au paiement,Nacer Benkhalifa,712020:de263b22-2db5-420a-a2d2-051a4e34a2e4,Déployé,13/Mar/26 8:41 AM,équipe support et maintenance,,,1,1m,,,,,,,,1800,1800,,1800,1800,13/Mar/26 1:01 PM,,,{},,,,60,,,,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Story,AWA-13763,77017,Planification d'une promotion via import fichier,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,En cours,13/Mar/26 8:38 AM,équipe support et maintenance,,,,,,,,,,,,14400,14400,,14400,14400,,,,"{pullrequest={dataType=pullrequest, state=DRAFT, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-03-16T13:27:01.094+0100"",""stateCount"":1,""state"":""DRAFT"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,,,,,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15
Sub-task,AWA-13762,76880,Test de regression ,Asma Ayari,5d0a4409307c2e0bc4038d00,Terminé,12/Mar/26 1:03 PM,équipe support et maintenance,,,,0,630,,,,,,,28800,28800,,28800,28800,13/Mar/26 2:47 PM,,,{},,,,0,,,,Asma Ayari,5d0a4409307c2e0bc4038d00
Support,AWA-13758,76805,Recalcul campagne Février 2026 :injecter les nouveaux primes aux Dashboard primes du prod  ,Nacer Benkhalifa,712020:de263b22-2db5-420a-a2d2-051a4e34a2e4,En cours,12/Mar/26 8:55 AM,équipe support et maintenance,,,,,,,,,,,,3600,3600,,3600,3600,,,,{},,,,,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-13757,76803,[LY] Import Promo Happy Hour LY du 12/03/2026,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,12/Mar/26 8:25 AM,équipe support et maintenance,,,,1,,,,,,,,900,900,,900,900,12/Mar/26 12:42 PM,,,{},,,,10,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-13756,76802,[Algérie] Import Promo Happy Hour DZ du 12/03/2026,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,12/Mar/26 8:18 AM,équipe support et maintenance,,,,1,,,,,,,,900,900,,900,900,12/Mar/26 12:41 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-03-12T12:26:48.686+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,10,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-13755,76801,[TN] Import Promo Happy Hour TN du 12/03/2026,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,12/Mar/26 8:15 AM,équipe support et maintenance,,,,1,,,,,,,,900,900,,900,900,12/Mar/26 12:41 PM,,,{},,,,10,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Task,AWA-13754,76668,Identification des phases à automatiser pour l'ouverture d’un nouveau pays,Wael Dghaies,6149e14a72728e006f96a35e,En cours,11/Mar/26 2:34 PM,équipe support et maintenance,,,,,,,,,,,,259200,259200,,115200,115200,,,,{},,,,585,,,,Wael Dghaies,6149e14a72728e006f96a35e
Support,AWA-13753,76635,[DZ] Changement d'arbre  / traitement automatique,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,11/Mar/26 2:02 PM,équipe support et maintenance,,,,5,0,,,,,,,1800,1800,,1800,1800,12/Mar/26 8:57 AM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-03-11T15:13:46.935+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,40,,,,Habib Dhahak,602996a97b23f40068416aa1
Bug,AWA-13752,76569,[Refactoring Adresse][Mon compte] Anomalies d'affichage dans le module de gestion des adresses conseillers ,Asma Ayari,5d0a4409307c2e0bc4038d00,Terminé,11/Mar/26 10:29 AM,équipe support et maintenance,🔴 Critique,,,5,330,,,,,,,3600,3600,,3600,3600,13/Mar/26 11:20 AM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-03-13T08:36:08.745+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,45,Asma Ayari,5d0a4409307c2e0bc4038d00,,Asma Ayari,5d0a4409307c2e0bc4038d00
Bug,AWA-13751,76568, [Tunisie] Ajout d'un fichier pour vérification du bonus Box / calcul monthly / Montant alimenté faux,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,En cours,11/Mar/26 10:27 AM,équipe support et maintenance,,,,,,,,,,,,7200,7200,,7200,7200,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-03-17T11:46:32.679+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,90,,,,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Support,AWA-13747,76528,[LY] Import Promo Happy Hour LY du 11/03/2026,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,11/Mar/26 8:23 AM,équipe support et maintenance,,,,5,,,,,,,,900,900,,900,900,11/Mar/26 1:40 PM,,,{},,,,5,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-13746,76527,[TN] Import Promo Happy Hour TN du 11/03/2026,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,11/Mar/26 8:18 AM,équipe support et maintenance,,,5,5,,,,,,,,900,900,,900,900,11/Mar/26 1:40 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-03-11T11:41:31.220+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,10,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-13745,76526,[Algérie] Import Promo Happy Hour DZ du 11/03/2026,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,11/Mar/26 8:13 AM,équipe support et maintenance,,,,5,,,,,,,,900,900,,900,900,11/Mar/26 1:41 PM,,,{},,,,5,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Task,AWA-13741,76442,Désactivation du CAPTCHA en environnement DEV pour les tests k6,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,Terminé,10/Mar/26 12:40 PM,équipe support et maintenance,,,,5,,,,,,,,900,900,,900,900,10/Mar/26 12:53 PM,,,{},,,,15,,,,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c
Bug,AWA-13739,76404,[Tous pays] [Amende inter-pays]: Affichage d'un faux login associé à une amende inter-pays,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Terminé,10/Mar/26 11:42 AM,équipe support et maintenance,🟠 Majeur,,,5,,,,,,,,3600,3600,,3600,3600,14/Mar/26 9:57 AM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-03-11T14:26:39.104+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,165,,,Commande Inter-Pays,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Bug,AWA-13738,76371,[Tous pays] [Amende inter-pays]: Recherche par mode de paiement non fonctionnel,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Terminé,10/Mar/26 10:42 AM,équipe support et maintenance,🟡 Medium,,,0,,,,,,,,3600,3600,,3600,3600,13/Mar/26 12:24 PM,,,"{branch={count=1, dataType=branch}, json={""cachedValue"":{""errors"":[],""summary"":{""branch"":{""overall"":{""count"":1,""lastUpdated"":""2026-03-11T10:27:46.000+0100"",""dataType"":""branch""},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,10,,,Commande Inter-Pays,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Technical Task,AWA-13737,76337,[Microservice planning][Order] Decoupling order module planning,Haythem Ben Khlifa,712020:638f1130-b998-4f2a-8828-0465fc109e6e,En cours,10/Mar/26 9:37 AM,équipe support et maintenance,,,,,,,,,,,,28800,28800,,28800,28800,,,,{},,,,,,,,Haythem Ben Khlifa,712020:638f1130-b998-4f2a-8828-0465fc109e6e
Support,AWA-13735,76334,[Algérie] Import Promo Happy Hour DZ du 10/03/2026,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,10/Mar/26 8:30 AM,équipe support et maintenance,,,,5,,,,,,,,600,600,,600,600,10/Mar/26 12:39 PM,,,{},,,,10,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-13734,76333,"[Libya] Mode de paiement ""Paiement à la livraison"" non visible dans l’action Comptabiliser",souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,10/Mar/26 8:30 AM,équipe support et maintenance,,,,2,0,,,,,,,300,300,,300,300,10/Mar/26 8:33 AM,,,{},,,,5,,,,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15
Support,AWA-13733,76332,[LY] Import Promo Happy Hour LY du 10/03/2026,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,10/Mar/26 8:26 AM,équipe support et maintenance,,,,5,,,,,,,,600,600,,600,600,10/Mar/26 12:39 PM,,,{},,,,10,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-13732,76331,[TN] Import Promo Happy Hour TN du 10/03/2026,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,10/Mar/26 8:16 AM,équipe support et maintenance,,,,5,,,,,,,,600,600,,600,600,10/Mar/26 12:38 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-03-10T11:59:42.718+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,10,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Bug,AWA-13729,76196,[Tous pays] [Amende inter-pays ] : Problème des séparateurs suite au changement de pays d'exercice,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Terminé,09/Mar/26 1:50 PM,équipe support et maintenance,,,,5,,,,,,,,3600,3600,,3600,3600,17/Mar/26 11:52 AM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=3}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":3,""lastUpdated"":""2026-03-13T11:09:02.002+0100"",""stateCount"":3,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":3,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,60,,,Commande Inter-Pays,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Task,AWA-13728,76195,"Synchronisation, vérification et déploiement de WhatsApp, et étude de l’intégration de Telegram",Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,En Attente de Revue,09/Mar/26 1:47 PM,équipe support et maintenance,,,,,,,,,,,,57600,57600,,57600,57600,,,,"{pullrequest={dataType=pullrequest, state=DRAFT, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-03-17T12:02:46.231+0100"",""stateCount"":1,""state"":""DRAFT"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,840,,,,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c
Xray Test,AWA-13727,76161,[Address Refactoring][Odyssey] Testing Free Products By Product,Haythem Ben Khlifa,712020:638f1130-b998-4f2a-8828-0465fc109e6e,Terminé,09/Mar/26 12:40 PM,équipe support et maintenance,,,,,,,,,,,,14400,14400,,14400,14400,,,,{},,,,315m,,,,Haythem Ben Khlifa,712020:638f1130-b998-4f2a-8828-0465fc109e6e
Xray Test,AWA-13726,76160,[Address Refactoring][Odyssey] Testing Blocs,Haythem Ben Khlifa,712020:638f1130-b998-4f2a-8828-0465fc109e6e,Terminé,09/Mar/26 12:38 PM,équipe support et maintenance,,,,,,,,,,,,10800,10800,,10800,10800,,,,{},,,,165,,,,Haythem Ben Khlifa,712020:638f1130-b998-4f2a-8828-0465fc109e6e
Xray Test,AWA-13725,76159,[Address Refactoring][Odyssey] Test Conseiller transférés,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,Terminé,09/Mar/26 12:36 PM,équipe support et maintenance,,,,,40,,,,,,,7200,7200,,7200,7200,,,,{},,,,,,,,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c
Bug,AWA-13724,76158,[Tous pays] [Amende inter-pays ] : Impact changement pays d'exercice sur PDF amende ,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,En attente de validation,09/Mar/26 12:21 PM,équipe support et maintenance,,,,5,,,,,,,,3600,3600,,3600,3600,,,,{},,,,135,,,Commande Inter-Pays,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Xray Test,AWA-13722,76124,[Address Refactoring][Odyssey] Test – Module Gestion d’alertes,Wael Dghaies,6149e14a72728e006f96a35e,Terminé,09/Mar/26 11:03 AM,équipe support et maintenance,,,,,,,,,,,,10800,10800,,10800,10800,,,,{},,,,190,,,,Wael Dghaies,6149e14a72728e006f96a35e
Bug,AWA-13721,76091,La combinaison des filtres Type de suppression et Pays retourne toujours un tableau vide dans la page Conseillers supprimés,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,Terminé,09/Mar/26 10:29 AM,équipe support et maintenance,🟠 Majeur,,,15,,,,,,,,5400,5400,,5400,5400,09/Mar/26 2:08 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-03-09T13:35:36.038+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,35,,,,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c
Xray Test,AWA-13720,76058,[TC][Refactoring Adresse][odyssey][Planification des produits] Vérification de la fonctionnalité planification des produits,,,Terminé,09/Mar/26 10:04 AM,équipe support et maintenance,,,,,1h,,,,,,,,,75,,,,,,{},,,,,,,,Asma Ayari,5d0a4409307c2e0bc4038d00
Support,AWA-13715,76052,[LY] Import Promo Happy Hour LY du 09/03/2026,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,09/Mar/26 8:51 AM,équipe support et maintenance,,,,4,,,,,,,,900,900,,900,900,10/Mar/26 8:12 AM,,,{},,,,10,,,,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-13712,76048,[TN] Import Promo Happy Hour TN du 09/03/2026,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,09/Mar/26 8:42 AM,équipe support et maintenance,,,,4,,,,,,,,900,900,,900,900,10/Mar/26 8:12 AM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-03-09T14:13:34.157+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,10,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Xray Test,AWA-13711,76044,[Address Refactoring][Odyssey] Test Conseiller supprimé,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,Terminé,09/Mar/26 8:32 AM,équipe support et maintenance,,,,,180,,,,,,,10800,10800,,10800,10800,,,,{},,,,,,,,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c
Support,AWA-13709,75844,[ARVEA MIDDLE EAST] : Action AC Boost KUWAIT ; UAE & OMAN,Nacer Benkhalifa,712020:de263b22-2db5-420a-a2d2-051a4e34a2e4,Terminé,07/Mar/26 8:23 AM,équipe support et maintenance,,,5,1,,,,,,,,300,300,,300,300,09/Mar/26 8:13 AM,,,{},,,,5m,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Xray Test,AWA-13706,75743,"[Address Refactoring][Odyssey] - Test des fonctionnalités Fournisseurs – ajout, modification et listing",Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,Terminé,06/Mar/26 2:41 PM,équipe support et maintenance,,,,,,,,,,,,1800,1800,20,1800,1800,,,,{},,,,,,,,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c
Xray Test,AWA-13705,75742,[Address Refactoring][Odyssey] Test – Module Inventaire,Wael Dghaies,6149e14a72728e006f96a35e,Terminé,06/Mar/26 2:41 PM,équipe support et maintenance,,,,,,,,,,,,7200,7200,,7200,7200,,,,{},,,,140,,,,Wael Dghaies,6149e14a72728e006f96a35e
Xray Test,AWA-13704,75741,[TC][Refactoring Adresse][odyssey][Jours fériés] Vérification de la fonctionnalité Gestion jours fériés,,,Terminé,06/Mar/26 2:31 PM,équipe support et maintenance,,,,,1h,,,,,,,,,105,,,,,,{},,,,,,,,Asma Ayari,5d0a4409307c2e0bc4038d00
Bug,AWA-13703,75675,"[Tous pays] [Amende]:  Création d'une amende"" Inter-pays""/ Correction de l'adresse",souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Terminé,06/Mar/26 1:30 PM,équipe support et maintenance,,,,5,,,,,,,,3600,3600,,3600,3600,11/Mar/26 12:33 PM,,,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-03-11T10:27:03.893+0100"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,150,,,,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Support,AWA-13702,75674,[TN][LY][EG] : AC Boost du 09-03 au 14-03-2026,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,06/Mar/26 1:10 PM,équipe support et maintenance,,,1,5,,,,,,,,900,900,,900,900,07/Mar/26 8:17 AM,,,{},,,,5,,,,Sirine Boubaker,5f06f55107efc40028e47d60
Bug,AWA-13701,75673,Migration address_data dans delivery_notes - données incorrectes pour plusieurs pays,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6,Terminé,06/Mar/26 12:58 PM,équipe support et maintenance,🔴 Critique,,,1m,,,,,,,,10800,10800,,10800,10800,16/Mar/26 1:20 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=3}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":3,""lastUpdated"":""2026-03-09T09:49:25.343+0100"",""stateCount"":3,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":3,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,210,,,Refactoring Adresse,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6
Xray Test,AWA-13700,75637,[Address Refactoring][Odyssey] Test – Module Bons de transfert,Wael Dghaies,6149e14a72728e006f96a35e,Terminé,06/Mar/26 11:51 AM,équipe support et maintenance,,,,,,,,,,,,7200,7200,,7200,7200,,,,{},,,,81,,,,Wael Dghaies,6149e14a72728e006f96a35e
Xray Test,AWA-13699,75636,[TC][Refactoring Adresse][odyssey][Amendes] Vérification de la fonctionnalité Amendes,,,Terminé,06/Mar/26 11:39 AM,équipe support et maintenance,,,,,2h,,,,,,,,,90,,,,,,{},,,,,,,,Asma Ayari,5d0a4409307c2e0bc4038d00
Xray Test,AWA-13698,75635,[Address Refactoring][Odyssey] Test – Module Bons de rectification,Wael Dghaies,6149e14a72728e006f96a35e,Terminé,06/Mar/26 11:10 AM,équipe support et maintenance,,,,,,,,,,,,3600,3600,,3600,3600,,,,{},,,,40,,,,Wael Dghaies,6149e14a72728e006f96a35e
Bug,AWA-13697,75634,[Amende inter-pays] Mauvaise adresse affichée pour les amendes inter-pays,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Terminé,06/Mar/26 11:08 AM,équipe support et maintenance,🟡 Medium,,,5,70,,,,,,,3600,3600,,3600,3600,11/Mar/26 10:14 AM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-03-10T12:38:44.683+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,90,,,,Habib Dhahak,602996a97b23f40068416aa1
Xray Test,AWA-13693,75597,[Address Refactoring][Odyssey] Test – Module Bons de réception,Wael Dghaies,6149e14a72728e006f96a35e,Terminé,06/Mar/26 10:02 AM,équipe support et maintenance,,,,,,,,,,,,10800,10800,,10800,10800,,,,{},,,,70,,,,Wael Dghaies,6149e14a72728e006f96a35e
