<<<<<<< HEAD
Project,heures
WEB,10454.771666666666
ORGANISATION,3652.1
DATA,3225.761944444444
E-COMMERCE,3139.845
POINTINY,1460.9363888888893
MOBILE,405.97194444444443
INCONNU,381.35055555555556
HELPDESK,123.57361111111113
SYSTEM MONITORING,78.60333333333313
ARTFIN,54.25
AUTOMATION,14.68333333333341
REPLICATION,1.43361111111112
=======
Project,duration_hours
ARTFIN,54.25
AUTOMATION,14.68333333333341
DATA,3225.761944444444
E-COMMERCE,3139.845
HELPDESK,123.57361111111113
MOBILE,405.97194444444443
ORGANISATION,3652.1
POINTINY,1460.9363888888893
REPLICATION,1.43361111111112
SYSTEM MONITORING,78.60333333333313
WEB,10454.771666666666
>>>>>>> 55bb3c6c647ea5d653ac19d09b1573e10a5f1164
